,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5526,0.5051,N/A,0.4687,N/A,0.0616
2,learning_rate: 0.03,0.5709,0.5945,N/A,0.5235,N/A,0.26
3,learning_rate: 0.01,0.5395,0.5531,N/A,0.6088,N/A,0.475
4,learning_rate: 0.003,0.4593,0.4514,N/A,0.5576,N/A,0.5345
5,learning_rate: 0.001,0.3834,0.4032,N/A,0.4055,N/A,0.5373
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
