,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8327,0.4183,N/A,0.2383,N/A,0.1
2,learning_rate: 0.03,0.824,0.6988,N/A,0.4786,N/A,0.2434
3,learning_rate: 0.01,0.8218,0.7838,N/A,0.6579,N/A,0.4313
4,learning_rate: 0.003,0.8475,0.8276,N/A,0.8083,N/A,0.627
5,learning_rate: 0.001,0.853,0.8399,N/A,0.8458,N/A,0.7997
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
