,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8186,0.2656,0.2011,0.1957,0.1831,0.1
2,learning_rate: 0.03,0.8566,0.6804,0.6024,0.5033,0.3931,0.196
3,learning_rate: 0.01,0.8641,0.799,0.7423,0.6748,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.101,0.2326,0.2092,0.1906,0.1669,0.1
2,learning_rate: 0.03,0.8506,0.6583,0.5383,0.4679,0.242,0.1918
3,learning_rate: 0.01,0.8525,0.7789,0.7155,0.609,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.767,0.2188,0.196,0.193,0.159,0.1135
2,learning_rate: 0.03,0.8444,0.6503,0.5542,0.4241,0.3064,0.1827
3,learning_rate: 0.01,0.8546,0.79,0.7373,0.6316,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.7463,0.2517,0.2045,0.1856,0.1288,0.1178
2,learning_rate: 0.03,0.8489,0.6675,0.535,0.456,0.262,0.1851
3,learning_rate: 0.01,0.8582,0.79,0.7331,0.6474,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.1005,0.2369,0.2116,0.2036,0.1651,0.1079
2,learning_rate: 0.03,0.8594,0.6644,0.5508,0.3749,0.3209,0.215
3,learning_rate: 0.01,0.8583,0.7907,0.7461,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8418,0.2287,0.2066,0.1744,0.1643,0.1628
2,learning_rate: 0.03,0.8452,0.6922,0.5926,0.4546,0.3638,0.216
3,learning_rate: 0.01,0.8484,0.7953,0.761,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
