,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8033,0.8417,0.8223,0.7348,0.5451,0.1878
2,learning_rate: 0.03,0.8266,0.8332,0.8458,0.8375,0.764,0.5715
3,learning_rate: 0.01,0.8409,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8487,0.8516,0.8348,0.7491,0.5258,0.172
2,learning_rate: 0.03,0.8695,0.863,0.8511,0.8358,0.7512,0.5615
3,learning_rate: 0.01,0.8707,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8538,0.8541,0.8348,0.7512,0.5504,0.1796
2,learning_rate: 0.03,0.862,0.8573,0.8518,0.837,0.7654,0.5496
3,learning_rate: 0.01,0.8556,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8459,0.8429,0.8319,0.7538,0.5489,0.1954
2,learning_rate: 0.03,0.8219,0.8325,0.843,0.8324,0.7449,0.5816
3,learning_rate: 0.01,0.7858,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.7998,0.8335,0.824,0.7672,0.568,0.1926
2,learning_rate: 0.03,0.7438,0.8023,0.8372,0.8271,0.7745,0.5816
3,learning_rate: 0.01,0.6523,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.7004,0.833,0.8343,0.7472,0.5505,0.2334
2,learning_rate: 0.03,0.6427,0.728,0.8228,0.8208,0.7531,0.566
3,learning_rate: 0.01,0.5935,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
